pos,Property Name,Price,HouseType,Areainsqft,NoofBedrooms,NoofBathrooms,NoofReceptions,Location,City/County,PostalCode,lat,long,n_pois,distance_to_london,District_x,NCrime,DisToHospital,DisToSubway,DisToShool,HouseTypeLabel,Postcode,District_y,PostalCodeLabel
0.0,Queens Road,1675000.0,House,2716.0,5.0,5.0,5.0,Wimbledon,London,SW19 8NY,51.424773,-0.189474,441.0,10.687889027643552,Merton,15374.0,1.0335982259010903,1.059383724594948,0.8162854258865561,3,SW19 8NY,Merton,132946
1.0,Seward Street,650000.0,Flat / Apartment,814.0,2.0,2.0,2.0,Clerkenwell,London,EC1V 3PA,51.526404,-0.097853,8050.0,2.3150733178195333,Islington,31022.0,0.5773937746100949,0.7141822604917633,0.2493987086267189,2,EC1V 3PA,Islington,34893
568.0,Seward Street,650000.0,Flat / Apartment,674.0,2.0,2.0,2.0,Clerkenwell,London,EC1V 3PA,51.526404,-0.097853,1721.0,2.3150733178195333,Islington,31022.0,0.5773937746100949,0.7141822604917633,0.2493987086267189,2,EC1V 3PA,Islington,34893
601.0,Seward Street,655000.0,Flat / Apartment,703.0,2.0,2.0,2.0,Clerkenwell,London,EC1V 3PA,51.526404,-0.097853,9002.0,2.3150733178195333,Islington,31022.0,0.5773937746100949,0.7141822604917633,0.2493987086267189,2,EC1V 3PA,Islington,34893
1169.0,Seward Street,695000.0,Flat / Apartment,796.0,2.0,2.0,2.0,Clerkenwell,London,EC1V 3PA,51.526404,-0.097853,1.0,2.3150733178195333,Islington,31022.0,0.5773937746100949,0.7141822604917633,0.2493987086267189,2,EC1V 3PA,Islington,34893
2732.0,Seward Street,700000.0,Flat / Apartment,836.0,2.0,2.0,2.0,Clerkenwell,London,EC1V 3PA,51.526404,-0.097853,3945.0,2.3150733178195333,Islington,31022.0,0.5773937746100949,0.7141822604917633,0.2493987086267189,2,EC1V 3PA,Islington,34893
2.0,Hotham Road,735000.0,Flat / Apartment,761.0,2.0,2.0,2.0,Putney,London,SW15 1QL,51.46507,-0.223641,731.0,8.86494865952558,Wandsworth,27388.0,1.5832527060247106,1.072174675900264,2.1799813786813504,2,SW15 1QL,Wandsworth,126809
3.0,Festing Road,1765000.0,House,1986.0,4.0,4.0,4.0,Putney,London,SW15 1LP,51.4691,-0.222549,989.0,8.55617730819819,Wandsworth,27388.0,1.9568201250026105,0.951695051160156,2.090949346796368,3,SW15 1LP,Wandsworth,126760
4.0,Spencer Walk,675000.0,Flat / Apartment,700.0,2.0,2.0,2.0,Putney,London,SW15 1PL,51.463439,-0.222279,679.0,8.89115424470995,Wandsworth,27388.0,1.378741800715543,1.0573719981167362,2.228797223966693,2,SW15 1PL,Wandsworth,126793
5.0,Craven Hill Gardens,420000.0,Flat / Apartment,403.0,1.0,1.0,1.0,,London,W2 3EA,51.513018,-0.182494,4653.0,4.484728881522326,Westminster,77772.0,0.6956835895259229,0.3757151246213281,1.002229277196668,2,W2 3EA,Westminster,170355
3031.0,Craven Hill Gardens,1100000.0,Flat / Apartment,718.0,1.0,1.0,1.0,,London,W2 3EA,51.513018,-0.182494,1244.0,4.484728881522326,Westminster,77772.0,0.6956835895259229,0.3757151246213281,1.002229277196668,2,W2 3EA,Westminster,170355
