,Venue_ID,Lat,Long,category,country
0,523722e111d2a88888ee69ed,47.630391,-122.128949,Office,US
1,523397f111d2240e3d1eb120,47.596266,-122.333193,Athletics & Sports,US
2,522e723611d214f754b6b263,47.547573,-122.314299,Convenience Store,US
3,522cb5a711d20c34ef60a041,47.61941,-122.320922,American Restaurant,US
4,522b4e6b11d2b45ffb77139d,47.436943,-122.294802,Hotel,US
5,522a7b7f498edcff52808150,47.610452,-122.337063,Clothing Store,US
6,52273fbe11d232d9f09e9a7b,47.484891,-122.148015,Bus Station,US
7,522663b311d253816f0c1786,47.707844,-122.332841,Doctor's Office,US
8,5223dc0111d2c1293b9187a1,47.596691,-122.327713,Soup Place,US
9,522229ce11d2b60cd0bfe10f,47.587364,-122.334125,Event Space,US
10,522131a211d21d67d032a8d4,47.606213,-122.413898,Lake,US
11,5220f09911d273f0e0376730,47.610824,-122.33419,Arcade,US
12,52207990498e91707ca377bb,47.62187,-122.351738,Music Venue,US
13,521f96a711d224c8ca78b4c4,47.451484,-122.295112,Travel Lounge,US
14,521bd83611d276b4d5e4e01c,47.713141,-122.167537,Campaign Office,US
15,52193fee11d2341887460d24,47.561268,-122.305618,Convenience Store,US
16,52166a6b8bbd517933e29754,47.604499,-122.33344,Japanese Restaurant,US
17,52156bbd498eb27e8d0eb520,47.62235,-122.320874,Cocktail Bar,US
18,5211374511d2494a589eb2a0,47.662308,-122.2991,Food Truck,US
19,520ffe0511d2889d7dfc01f5,47.55542,-122.361404,Home (private),US
20,520f79ef11d20abf2c53143d,47.68192,-122.260515,Other Great Outdoors,US
21,520d288311d2c4bf8f16dcbb,47.618847,-122.360112,Other Great Outdoors,US
22,520bc7a9498ecbff76fb96e6,47.609295,-122.338516,Food Truck,US
23,520ba0b411d27deba8f3262f,47.480364,-122.171769,Government Building,US
24,520a898d11d24085f30f68be,47.614755,-122.344506,Asian Restaurant,US
25,520947d611d2031f1ae47e8a,47.666237,-122.383192,Cocktail Bar,US
26,5206c9ce11d218f80b8e0f3c,47.616489,-122.31823,General Entertainment,US
27,51fd5c41498e83667915dfd8,47.569794,-122.277861,Harbor / Marina,US
28,51fc897b498eda6d6e53cbe7,47.635798,-122.349769,Home (private),US
29,51fc26cb454a479c5483b459,47.628554,-122.339566,Airport,US
30,51fab8aa498ed11315cd3047,47.624037,-122.336873,Drugstore / Pharmacy,US
31,51f94df7498e7dbcec22afb6,47.678994,-122.178779,Spa / Massage,US
32,51f2aecd498e89a83cca7efa,47.614081,-122.319538,Music Venue,US
